,Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls,description
16,Agrios Global Holdings Ltd.,AGRO,Life Sciences,US Cannabis,CSE Composite,CAD,12-Nov-18,https://thecse.com/en/listings/life-sciences/agrios-global-holdings-ltd,"Agrios Global Holdings Ltd. (the “Company”) is a data analytics driven agricultural technology, services and property management company, providing real property and equipment for lease and enhanced ancillary services to the agricultural and cannabis industries in the State of Washington. The Company’s mission is to enable licensed cultivators of cannabis and/or other agricultural crops to enhance both crop quality and yields through proprietary knowledge and the use of clean technology and tools."
17,AJN Resources Inc.,AJN,Mining,,CSE Composite,CAD,12-Jun-18,https://thecse.com/en/listings/mining/ajn-resources-inc,"
	AJN Resources Inc. is an exploration and development company formed for the purposes of acquiring, exploring and if warranted and feasible, developing Lithium resource properties.  We acquire and develop properties of demonstrated potential.  AJN’s management and directors possess over 75 years of collective industry experience and have been very successful from exploration, to financing, to developing major mines throughout the world."
18,Alchemist Mining Inc.,AMS,Mining,,,CAD,04-Sep-15,https://thecse.com/en/listings/mining/alchemist-mining-inc,Alchemist Mining is focused on maximizing shareholder value by continuously seeking out and identifying precious metal properties of with great potential. The Company has a growing portfolio of properties located in prolific gold-producing regions of Canada. Alchemist is currently in the process of evaluating mining and exploration opportunities at attractive prices in current market conditions.
19,Algernon Pharmaceutical Inc. Wts.,AGN.WT,Life Sciences,,,CAD,04-Nov-19,https://thecse.com/en/listings/life-sciences/algernon-pharmaceutical-inc-wts,
20,Algernon Pharmaceuticals Inc.,AGN,Life Sciences,,CSE Composite,CAD,01-Feb-16,https://thecse.com/en/listings/life-sciences/algernon-pharmaceuticals-inc,"Algernon Pharmaceuticals is a clinical stage pharmaceutical development company focused on advancing its lead compounds for non–alcoholic steatohepatitis (NASH), chronic kidney disease (CKD) inflammatory bowel disease (IBD), idiopathic pulmonary fibrosis (IPF) and chronic cough."
21,Alliance Growers Corp.,ACG,Life Sciences,Cannabis,,CAD,16-Oct-15,https://thecse.com/en/listings/life-sciences/alliance-growers-corp, 
22,Alternate Health Corp.,AHG,Life Sciences,"US Cannabis, Blockchain",,CAD,24-Jan-17,https://thecse.com/en/listings/life-sciences/alternate-health-corp,"Alternate Health (CSE: AHG, OTCQB: AHGIF) an international leader in the hemp-derived CBD industry, including extraction, product development and distribution. Alternate Health’s industry-leading software systems provide the platform for the company’s diverse operations, including blockchain tax collection systems, hemp-derived CBD product distribution, extract manufacturing and patient management systems for specialty clinics across North America."
23,American Aires Inc.,WIFI,Technology,,CSE Composite,CAD,07-Nov-19,https://thecse.com/en/listings/technology/american-aires-inc,"American Aires is currently engaged in business of production, distribution and sales of devices intended to protect persons from the harmful effects of electromagnetic emissions.  The company has developed a technology that is restructuring and transforming electromagnetic field haze into a more biologically-compatible form to reduce the harmful effects of electromagnetic radiation."
24,American Pacific Mining Corp.,USGD,Mining,,CSE Composite,CAD,08-Mar-18,https://thecse.com/en/listings/mining/american-pacific-mining-corp,"American Pacific Mining Corp. is a new gold explorer focused on precious metal opportunities in the Western United States. Tuscarora is a high grade, early stage gold project located in a prime precious metal district in Nevada, only 35km northeast of the Carlin trend, 20km southwest of the Jerritt Canyon deposit, and 50km east-northeast of the Midas deposit. American Pacific is Eyeing a Gold Discovery amidst gold’s next bull market."
25,AMP German Cannabis Group Inc.,XCX,Life Sciences,Cannabis,CSE Composite,CAD,04-Sep-19,https://thecse.com/en/listings/life-sciences/amp-german-cannabis-group-inc,
26,AMPD Ventures Inc.,AMPD,Technology,,CSE Composite,CAD,24-Oct-19,https://thecse.com/en/listings/technology/ampd-ventures-inc,"AMPD specializes in providing high-performance cloud and compute solutions for low-latency applications including video games and eSports, digital animation and visual effects, and big data collection, analysis and visualization."
27,Ansar Financial and Dev Corporation,AFD,Diversified Industries,,CSE Composite,CAD,03-Sep-15,https://thecse.com/en/listings/diversified-industries/ansar-financial-and-dev-corporation,
28,Appia Energy Corp.,API,Mining,,CSE Composite,CAD,14-Sep-15,https://thecse.com/en/listings/mining/appia-energy-corp,The mission of Appia Energy Corp. is to advance the development of its Saskatchewan rare earth elements and uranium projects into production and transform Appia into a world class energy company.
29,Aquarius Surgical Technologies Inc.,ASTI,Technology,,CSE Composite,CAD,21-Jun-17,https://thecse.com/en/listings/technology/aquarius-surgical-technologies-inc,"Aquarius Surgical Technologies Inc. is an exclusive provider of innovative, minimally invasive medical laser systems and consumables for multiple medical disciplines, principally in the field of urology. Solutions also comprise consumables, clinical education, service, support and maintenance and focus on increasing the availability of services for patients, enhancing the quality of patient care, improving operationally efficiencies and reducing total operational costs.  "
30,Arctic Glacier Income Fund,AG.UN,Diversified Industries,,CSE Composite,CAD,03-Sep-15,https://thecse.com/en/listings/diversified-industries/arctic-glacier-income-fund,"
	On August 15, 2012, the Fund announced (the “Default Announcement”) that it would not be able to file an interim financial report and interim management's discussion and analysis for the period ended June 30, 2012, together with the related certification of filings under National Instrument 52-109 Certification of Disclosure in Issuers’ Annual and Interim Filings (collectively, the “Continuous Disclosure Documents”) by August 29, 2012, the deadline prescribed by securities legislation (the “Specified Requirement”). Except as discussed below, there have been no material changes to the information contained in the Default Announcement or any other changes required to be disclosed under National Policy 12-203. The Fund still intends to file the Continuous Disclosure Documents as soon as is commercially reasonable, or as required by the Manitoba Court of Queen's Bench pursuant to the Fund's Companies’ Creditors Arrangement Act (the “CCAA”) proceedings. More information about the Arctic Glacier Parties’ CCAA proceeding can be found on the website of its Court-appointed monitor at "
31,AREV NanoTec Brands Inc. (formerly was AREV/AREV Brands International Ltd. until 2020-03-18),AREV,Diversified Industries,Cannabis,,CAD,05-Aug-16,https://thecse.com/en/listings/diversified-industries/arev-nanotec-brands-inc-(formerly-was-arev/arev-brands-international-ltd-until-2020-03-18),
32,Argo Gold Inc.,ARQ,Mining,,CSE Composite,CAD,22-Sep-16,https://thecse.com/en/listings/mining/argo-gold-inc,Argo Gold is focused on gold exploration projects in northwestern and central Ontario that have indications of economic viability.  All of the gold projects are 100% owned by Argo Gold and its shareholders.
33,Armada Mercantile Ltd.,ARM,Diversified Industries,,,CAD,24-Sep-15,https://thecse.com/en/listings/diversified-industries/armada-mercantile-ltd,"
	Armada Mercantile Ltd. has been a publicly-traded company in Canada since 1987. Armada is a advisory services, trade finance and relational FINRA broker dealer company. Armada Mercantile Ltd. provides specialized merchant banking, venture lending, factoring and corporate finance services internationally, as well as advising clients on corporate strategy, public markets entry, mergers and acquisitions, buy and sell side mandates and raising capital."
34,Armadillo Resources Ltd.,ARO,Mining,,,CAD,05-Aug-16,https://thecse.com/en/listings/mining/armadillo-resources-ltd,"
	Armadillo is a publicly traded company headquartered in Vancouver, British Columbia with a mandate to acquire, explore and develop base and precious metals properties throughout North & South America. In July 2010, we purchased from a privately held group, a 100% interest in the LD gold property located southeast of Atlin, BC from a privately held group. In May 2011, we acquired the Amazon Basin Projects in northern Brazil which encompasses 154 concessions in the states of Amazonas, Mato Grosso and Rondonia. The acquisition comprises approximately 1,250,000 hectares of processos minerais (mineral exploration). Most of the claims have been staked over Archaen to Lower Proterozoic greenstone belts which are considered to be prospective for gold. Gold production by artisanal miners (garimpeiros) in northern Mato Grosso from the end of the 1970 to 2000 is reported by the National Department of Mineral Production (DNPM) to have totaled 123t. In March 2013, we announced the completion of the acquisition of the historic Flagstaff Gold Mine in Baker City, Oregon. The Company intends to complete an initial program of sampling, trenching and drilling which will also include an upgrade to the existing tunnels to gain access and verify the existing orebody."
35,Asante Gold Corporation,ASE,Mining,,,CAD,04-Sep-15,https://thecse.com/en/listings/mining/asante-gold-corporation,"Asante Gold Corporation (CSE:ASE / FRANKFURT:1A9) is a Vancouver, Canada based gold exploration and development company. Our current focus is gold exploration and development in Ghana, West Africa. We have announced plans, subject to financing, to develop our Kubi Gold Project as a 550 tpd underground gold mine under the former AngloGold Ashanti open pit Kubi Gold Mine."
36,Asia Green Biotechnology Corp. (formerly was ASIA/Asia Cannabis Corp. until 2020-04-15),ASIA,Life Sciences,Cannabis,CSE Composite,CAD,24-Jan-19,https://thecse.com/en/listings/life-sciences/asia-green-biotechnology-corp-(formerly-was-asia/asia-cannabis-corp-until-2020-04-15),
37,Aurwest Resources Corporation (formerly was SRS/Shamrock Enterprises Inc. until 2020-01-07),AWR,Mining,,,CAD,09-Sep-15,https://thecse.com/en/listings/mining/aurwest-resources-corporation-(formerly-was-srs/shamrock-enterprises-inc-until-2020-01-07),
38,Australis Capital Inc.,AUSA,Diversified Industries,US Cannabis,CSE Composite,CAD,19-Sep-18,https://thecse.com/en/listings/diversified-industries/australis-capital-inc,"AUSA invests in, operates and builds transformative, differentiated companies operating in highly regulated industries. Initially focused on investments in the cannabis industry including Body and Mind Inc., Quality Green, and Cocoon Technology, AUSA has expanded its business to offer proprietary unattended hardware and software technology to industries with the highest regulatory compliance standards along with supporting payment and fulfillment services. The globally available kiosk platforms are purpose-built in the cloud to deliver custom solutions in complex environments while emboldening customer confidence with features including data analytics, privacy, security and regulatory compliance.  The Platform-as-a-Service (PaaS) technology delivers recurring revenue through long-term exclusive agreements initially focused on regulated retail environments while portable and scalable to profitably support organic growth and complementary acquisition opportunities."
39,Auxico Resources Canada Inc.,AUAG,Mining,,,CAD,17-Oct-17,https://thecse.com/en/listings/mining/auxico-resources-canada-inc,"Auxico Resources Canada Inc. (“Auxico”) is a Canadian Company founded in 2014 and based in Montreal. Auxico is engaged in the acquisition, exploration and development of mineral properties in Mexico. Its current focus is to conduct the proposed exploration program on the Zamora Property, on which Auxico holds a 100% interest, along with continuing to identify and potentially acquire additional property interests and conduct exploration and evaluation of to assess their potential. "
40,Avarone Metals Inc. (formerly was AVM/Avarone Metals Inc. until 2020-04-14),AVM.X,Mining,,,CAD,01-Feb-16,https://thecse.com/en/listings/mining/avarone-metals-inc-(formerly-was-avm/avarone-metals-inc-until-2020-04-14),
41,Aylen Capital Inc.,AYL,Diversified Industries,,,CAD,04-Nov-15,https://thecse.com/en/listings/diversified-industries/aylen-capital-inc,"
	Aylen provides data collection services for companies through its Grapevine Solutions division."
42,Ayr Strategies Inc. Rts.,AYR.RT,Life Sciences,US Cannabis,,CAD,19-Aug-19,https://thecse.com/en/listings/life-sciences/ayr-strategies-inc-rts,
43,Ayr Strategies Inc. S.V.,AYR.A,Life Sciences,US Cannabis,CSE25,CAD,19-Aug-19,https://thecse.com/en/listings/life-sciences/ayr-strategies-inc-sv,
44,Ayr Strategies Inc. Wts.,AYR.WT,Life Sciences,US Cannabis,,CAD,19-Aug-19,https://thecse.com/en/listings/life-sciences/ayr-strategies-inc-wts,
45,BacTech Environmental Corporation,BAC,CleanTech,,,CAD,04-Sep-15,https://thecse.com/en/listings/cleantech/bactech-environmental-corporation,"BacTech Environmental Corporation was created as a result of the BacTech Mining Corporation Plan of Arrangement in December 2010. The Company uses its patented BACOX bioleaching technology to process toxic, arsenic-laden mine tailings. Bioleaching, in addition to stabilizing arsenic, oxidizes sulphides, thereby eliminating a major source of acid mine drainage, while also recovering precious and base metals from tailings for sale to market."
46,Bam Bam Resources Corp. (formerly was KOPR/KOPR Point Ventures Inc. until 2019-12-04),BBR,Mining,,CSE Composite,CAD,20-Dec-17,https://thecse.com/en/listings/mining/bam-bam-resources-corp-(formerly-was-kopr/kopr-point-ventures-inc-until-2019-12-04),
47,BC Craft Supply Co. Ltd. (formerly was CRFT/Pasha Brands Ltd. until 2020-05-15),CRFT,Life Sciences,Cannabis,CSE Composite,CAD,03-Jun-19,https://thecse.com/en/listings/life-sciences/bc-craft-supply-co-ltd-(formerly-was-crft/pasha-brands-ltd-until-2020-05-15),
48,Beleave Inc.,BE,Life Sciences,Cannabis,CSE Composite,CAD,31-Dec-15,https://thecse.com/en/listings/life-sciences/beleave-inc,"Beleave is a vertically-integrated Canadian cannabis company headquartered in Oakville, Ontario, that operates streamlined facilities throughout Canada to cultivate high-quality cannabis flower, oil, and extracts with funded capacity in excess of 150,000 kg per year. Fully-licensed to cultivate and sell medical and recreational cannabis, Beleave is leading the way through research partnerships with universities to bridge the gap between science and tradition and to develop pharma-grade extracts and derivatives. Beleave is currently developing new product lines for October 2019 as the recreational market is expected to allow for food and beverage-based cannabis products. Beleave is growing its storefront and online sales presence rapidly through its wholly-owned subsidiaries, Beleave Kannabis Corp. and Seven Oaks, which are licensed for medicinal and recreational sales respectively. The company’s first retail location is opening this fall in Llyodminster, Saskatchewan. Beleave has also developed a network of medical cannabis clinics in Ontario and Quebec under the Medi-Green banner. Through its majority ownership of Procannmed S.A.S., Beleave has access to 60 hectares of outdoor grow space and is fully licensed to cultivate, produce, extract and distribute medical cannabis in Colombia to capitalize on exports and the expanding Latin American market.  "
49,Belgravia Hartford Capital Inc. (formerly was BLGV/Belgravia Capital International Inc. until 2019-12-20),BLGV,Diversified Industries,Cannabis,,CAD,23-Nov-17,https://thecse.com/en/listings/diversified-industries/belgravia-hartford-capital-inc-(formerly-was-blgv/belgravia-capital-international-inc-until-2019-12-20),
50,Benchmark Botanics Inc.,BBT,Life Sciences,Cannabis,CSE Composite,CAD,03-Nov-17,https://thecse.com/en/listings/life-sciences/benchmark-botanics-inc,"Benchmark Botanics Inc. is a licensed producer of medical dried cannabis at its facility in Peachland, British Columbia. Through its 100-per-cent-owned subsidiary, Potanicals Green Growers Inc. (""Potanicals""), Benchmark received a production and cultivation license in October 2017 and a sales license from Health Canada in July 2019. The Health Canada sales license allows Benchmark to supply and sell finished cannabis products to provincial governments throughout Canada and through Canada's distribution and retail supply chain. Benchmark is providing recreational and medical dried cannabis, and will be providing capsules and other forms of cannabis products . As part of its expansion strategy Benchmark through its wholly-owned subsidiary and licensed producer Potanicals , has received its second cultivation license, effectively November 29, 2019, from Health Canada for the Company's joint venture greenhouse operations located in Pitt Meadows, BC."
51,Berkley Renewables Inc.,BKS,Diversified Industries,,,CAD,03-Sep-15,https://thecse.com/en/listings/diversified-industries/berkley-renewables-inc,"
	Berkley Renewables Inc. is a growth-oriented venture firm pursuing renewable energy opportunities, primarily in the solar energy sector. The company is currently developing unique, flow-through solar energy investments in Ontario, Canada. Berkley has diversified by purchasing an equity interest in RepliCel Life Sciences Inc., which is developing a scientific technology that has the potential to become the world's first, minimally invasive, permanent solution for hair loss in men and women."
52,BetterLife Pharma Inc.,BETR,Life Sciences,,CSE Composite,CAD,19-Dec-17,https://thecse.com/en/listings/life-sciences/betterlife-pharma-inc,"<em>BetterLife Pharma Inc. (“BetterLife”) is an emerging biotechnology company engaged in the development and commercialization of therapeutic pharmaceuticals as well as drug delivery platform technologies. Through its wholly owned subsidiary, BLife Therapeutics Inc., BetterLife is refining and developing drug candidates from a broad set of complementary Interferon-based technologies which have the potential to engage the immune system to fight virus infections, such as the coronavirus disease (COVID-19) and human papillomavirus (HPV), and/or to directly inhibit tumours to treat specific types of cancer.</em>"
53,BevCanna Enterprises Inc.,BEV,Life Sciences,Cannabis,CSE Composite,CAD,02-Jul-19,https://thecse.com/en/listings/life-sciences/bevcanna-enterprises-inc,"
	BevCanna Enterprises Inc. seeks to develop and manufacture cannabinoid-infused beverages and consumer products for in-house brands and white label clients. With decades of experience creating, branding and distributing iconic brands that have resonated with consumers on a global scale, the team demonstrates an expertise unmatched in the emerging cannabis beverage category. Based in British Columbia, Canada, BevCanna has a 100-acre outdoor cultivation site in the fertile Okanagan Valley and the exclusive rights to a pristine spring water aquifer, as well as a world-class 40,000-square-foot, HACCP certified manufacturing facility, with a current bottling capacity of up to 72M bottles. BevCanna’s vision is to be the global leader infused innovations."
54,Bexar Ventures Inc.,BXV,Technology,,,CAD,27-Mar-18,https://thecse.com/en/listings/technology/bexar-ventures-inc,Bexar Ventures is a software company that specializes in cloud-based training and testing platforms for corporate and higher education clients.
55,Bhang Inc.,BHNG,Life Sciences,Cannabis,CSE Composite,CAD,11-Jul-19,https://thecse.com/en/listings/life-sciences/bhang-inc,"Bhang is a cannabis brand with a portfolio of over 100 cannabis, hemp-derived CBD and terpene products (which are sold through its licensees and/or by Bhang directly) including, without limitation, chocolates, pre-rolls, vapes, gums, beverages, gummies and mouth sprays."
56,BIGG Digital Assets Inc (formerly was BIGG/BIG Blockchain Intelligence Group Inc. until 2019-10-03),BIGG,Technology,Blockchain,CSE Composite,CAD,06-Dec-17,https://thecse.com/en/listings/technology/bigg-digital-assets-inc-(formerly-was-bigg/big-blockchain-intelligence-group-inc-until-2019-10-03),
57,Biocure Technology Inc.,CURE,Life Sciences,,CSE Composite,CAD,29-Nov-17,https://thecse.com/en/listings/life-sciences/biocure-technology-inc, 
58,BioHarvest Sciences Inc.,BHSC,Life Sciences,Cannabis,CSE Composite,CAD,23-Apr-20,https://thecse.com/en/listings/life-sciences/bioharvest-sciences-inc,BioHarvest Sciences produces and sells a food-based Nutraceutical product called ViniaTM  which contains the whole range of piceid resveratrol in natural state . The product is made by growing plant cells from red grapes in bioreactors utilizing the Issuer’s platform technology which allows the growing of specific cells instead of the whole plant. The Issuer is also completing research to adapt its platform technology to growing of cannabis cells under a cannabis research license in Israel.
59,BioMark Diagnostics Inc.,BUX,Life Sciences,,CSE Composite,CAD,02-Sep-15,https://thecse.com/en/listings/life-sciences/biomark-diagnostics-inc,"BioMark is a Canadian based company that is developing its advanced stage cancer diagnostic business. BioMark’s cancer diagnostics technology platform leverages ""Omics"" and machine learning which allows for early cancer detection. BioMark is currently focused on bringing its cancer diagnostic kits and detection solution to commercialization standards and hopes to commence distribution once clinical trials are complete and regulatory acceptance is obtained. For more information please visit the company’s website at www.biomarkdiagnostics.com"
60,Biome Grow Inc.,BIO,Life Sciences,Cannabis,CSE Composite,CAD,09-Oct-18,https://thecse.com/en/listings/life-sciences/biome-grow-inc,Biome Grow Inc. (CSE:
61,BIOSENTA Inc.,ZRO,Diversified Industries,,,CAD,11-Sep-15,https://thecse.com/en/listings/diversified-industries/biosenta-inc,"BIOSENTA Inc.'s line of retail anti-microbial products will effectively kill mould, bacteria and fungi on contact and prevent re-growth. These products address the demand created by the mounting health and environmental concerns. BIOSENTA will also manufacture and distribute an anti-microbial filler."
62,Bird River Resources Inc.,BDR,Oil and Gas,,,CAD,09-Oct-15,https://thecse.com/en/listings/oil-and-gas/bird-river-resources-inc,"Bird River Resources Inc. (the “Company”) is a Manitoba registered company which has been engaged in resource exploration and development for over 60 years. In recent years, the Company had focused on oil and gas exploration in southwestern Manitoba by way of joint ventures with other established oil companies and has minority interests in 10 producing wells. Through its acquisition of High Point Oil Inc. of Alberta, the Company has drilled additional wells in Alberta which are now producing light sweet crude."
63,BitRush Corp.,BRH,Technology,Blockchain,,CAD,14-Sep-15,https://thecse.com/en/listings/technology/bitrush-corp,"BitRush Corp. is a pioneering Canadian tech company focused on cryptographic blockchain technology. BitRush™ has chosen to go to the public markets as a startup to allow all types of investors, from individuals to institutions, to participate in the potential value appreciation of a blockchain technology startup, that otherwise would usually have taken place in the private markets accessible only to VCs and accredited investors."
64,Black Tusk Resources Inc.,TUSK,Mining,,,CAD,10-Nov-17,https://thecse.com/en/listings/mining/black-tusk-resources-inc,Black Tusk Resources is a gold-focused Canadian exploration company with operations primarily based in the Abitibi greenstone belt region of Quebec. Black Tusk currently holds 100-per-cent ownership in five separate gold and PGE projects in Canada.
65,Blackhawk Growth Corp. (formerly was BLR/Blackhawk Resource Corp. until 2020-03-10),BLR,Diversified Industries,,CSE Composite,CAD,05-Mar-19,https://thecse.com/en/listings/diversified-industries/blackhawk-growth-corp-(formerly-was-blr/blackhawk-resource-corp-until-2020-03-10),
66,Blackhawk Growth Corp. 17DEC2024 Wts.,BLR.WT,Diversified Industries,,,CAD,05-May-20,https://thecse.com/en/listings/diversified-industries/blackhawk-growth-corp-17dec2024-wts,
67,Blockchain Foundry Inc,BCFN,Technology,Blockchain,CSE Composite,CAD,14-May-18,https://thecse.com/en/listings/technology/blockchain-foundry-inc,"
	Blockchain Foundry Inc. develops and commercializes blockchain-based business solutions and provides consulting services to corporate clients seeking to incorporate blockchain technology in their businesses. Blockchain Foundry Inc. has developed a proprietary blockchain-based ecommerce solution, Blockmarket, which is a downloadable software application, and has begun development work on a web-based Blockmarket application. Blockchain Foundry Inc. has also added personnel in the area of corporate development and business development to explore other blockchain-based opportunities going forward."
68,Blocplay Entertainment Inc.,PLAY,Technology,Blockchain,,CAD,24-Sep-15,https://thecse.com/en/listings/technology/blocplay-entertainment-inc,
69,BLOK Technologies Inc.,BLK,Technology,Blockchain,,CAD,02-Feb-18,https://thecse.com/en/listings/technology/blok-technologies-inc,"BLOK Technologies Inc. is a public company that invests in and develops emerging companies in the blockchain technology sector. Our approach is to provide capital, technology and management expertise to the companies we develop.  BLOK Technologies is building out a portfolio of technology solutions we can enable and grow with significant returns on investment for investors and entrepreneurs. BLOK Technologies delivers solutions for businesses and consumers that enable trust, transactions and potential to be unlocked."
70,Blue Lagoon Resources Inc.,BLLG,Mining,,CSE Composite,CAD,04-Jul-19,https://thecse.com/en/listings/mining/blue-lagoon-resources-inc,"Blue Lagoon Resources is a mineral exploration company focused on the acquisition, exploration and development of properties for the mining of gold and other minerals. The company is on track to own 100% of the Pellaire gold property located 160 km southwest of William's Lake in the Chilcotin range of south-central British Columbia. The Pellaire project covers over 4,400 hectares and is known to have 10 gold-bearing veins on the property."
71,Blueberries Medical Corp.,BBM,Life Sciences,Cannabis,CSE Composite,CAD,06-Feb-19,https://thecse.com/en/listings/life-sciences/blueberries-medical-corp,"
"
