,Ex.,Name,Ticker,QMV($),HQ Region,HQ Location,Sector,Sub Sector,description
12,TSXV,ABE Resources Inc.,ABE,287773.6,Canada,QC,Mining,,"Aberdeen Asia-Pacific Income Investment Co Ltd manages investment across equities, fixed income, property and alternative assets. The company serves institutional investors such as insurance companies, pension funds, treasuries, banks, sovereign wealth funds, family offices, and foundations. In the wealth management and adviser space, the company serves banks, discretionary fund managers, and registered advisers. It's investment portfolio spans across various geographies, including Australia, Bangladesh, Brazil, China, Germany, Hong Kong, India, Indonesia, Malaysia, Mexico, New Zealand, Norway, the Philippines, Republic of South Korea, Singapore, Sri Lanka, Thailand, Turkey, the United Kingdom, and the United States. Interest income generates maximum revenue for the company."
13,TSXV,Aben Resources Ltd.,ABN,2398899.2,Canada,BC,Mining,,"Aben Resources Ltd is a Canada-based exploration and development-stage company. Principally, it is engaged in the business of acquisition, exploration, and evaluation of mineral resource properties in British Columbia, Saskatchewan, and Yukon, Canada. Its Forrest Kerr Gold project is located in northwestern British Columbia covering an area of approximately 23,000 hectares. The Chico Gold project is situated approximately 125 kilometers east of La Ronge, Saskatchewan. Its Justin project is approximately 35 kilometers southeast of the Cantung mine and lies in the southeast of Yukon on the Tintina gold belt. In addition, it also holds an interest in the Selwyn Recce Gold project in Northwest Territories."
14,TSXV,Abenteuer Resources Corp.,ABU,639739.31,Canada,BC,Oil & Gas,,"Arbutus Biopharma Corp is a biopharmaceutical company. The company discovers, develops and commercializes cure for patients suffering from Hepatitis B infection. It is focused on developing a portfolio of drug candidates with multiple mechanisms of action and also involved in licensing of Lipid nanoparticle technology."
15,TSX,Aberdeen Asia-Pacific Income Investment Company Ltd.,FAP,243123076.7,USA,USA,Financial Services,,"Aberdeen Asia-Pacific Income Investment Co Ltd manages investment across equities, fixed income, property and alternative assets. The company serves institutional investors such as insurance companies, pension funds, treasuries, banks, sovereign wealth funds, family offices, and foundations. In the wealth management and adviser space, the company serves banks, discretionary fund managers, and registered advisers. It's investment portfolio spans across various geographies, including Australia, Bangladesh, Brazil, China, Germany, Hong Kong, India, Indonesia, Malaysia, Mexico, New Zealand, Norway, the Philippines, Republic of South Korea, Singapore, Sri Lanka, Thailand, Turkey, the United Kingdom, and the United States. Interest income generates maximum revenue for the company."
16,TSX,Aberdeen International Inc.,AAB,14807014.84,Canada,ON,Financial Services,,Aberdeen International Inc is a resource investment company and merchant bank. It focuses on small capitalization companies in the metals and mining sector. The company seeks to acquire equity participation in pre-IPO and early stage public resource companies with undeveloped or undervalued high-quality resources.
17,TSXV,Abitibi Royalties Inc.,RZZ,95677890.92,Canada,QC,Mining,,"Abitibi Royalties Inc is engaged in the business of acquiring, exploring, evaluating and promoting its mineral properties and other projects. The company aims to build a royalty company with a focus on the Canadian Malartic mine."
18,TSX,Absolute Software Corporation,ABT,242420378.6,Canada,BC,Technology,Software,"Absolute Software Corp provides endpoint security and data risk management solutions for commercial, healthcare, education and government customers. Its products and solutions include endpoint security, industry solutions, application resiliency, endpoint data discovery, professional services and investigations. The company's products and solutions are powered by its patented persistence technology. It generates majority of sales in North America. The company principally derives its revenues from two sources: subscription and support revenues."
19,TSX,Acadian Timber Corp.,ADN,292796280.0,Canada,BC,Forest Products & Paper,,"Acadian Timber Corp is a Canada-based supplier of primary forest products in Eastern Canada and the Northeastern United States. The firm has approximately 2.4 million acres of land under management, Acadian timberland is the operators in New Brunswick and Maine. It generates a majority of its revenue from New Brunswick. The company's product includes softwood and hardwood sawlogs, pulpwood and biomass by-products."
20,TSX,Acasta Enterprises Inc.,AEF.A,400487500.0,Canada,ON,,,Acasta Enterprises Inc is a Canada based company. Its consumer products portfolio includes a company that manufactures and distributes private label health and beauty care products for a range of retailers across North America.
21,TSXV,Acasti Pharma Inc.,ACST,20245751.82,Canada,QC,Life Sciences,Pharmaceuticals,"Acasti Pharma Inc is a biopharmaceutical innovator advancing a cardiovascular drug, CaPre (omega-3 phospholipid), for the treatment of hypertriglyceridemia, a chronic condition affecting an estimated one third of the U.S. population. The company is focused on addressing a critical market need for an effective, safe and well-absorbing omega-3 therapeutic that can make a positive impact on the blood lipids associated with cardiovascular disease risk. The Company is developing CaPre in a Phase 3 clinical program in patients with severe hypertriglyceridemia."
22,TSXV,Acceleware Ltd.,AXE,10594738.875,Canada,AB,Technology,Software,"Acceleware Ltd is an oil and gas technology company based in Canada. It has aggregated its operations into two reportable segments, High-Performance Computing, and Radio Frequency (RF) Heating segment. The company's High-Performance Computing segment sells proprietary high-performance computing software and related consulting services and training programs to the oil and gas industry. The RF Heating segment is engaged in research, development, and commercialization activities related to the company's proprietary enhanced heavy oil and oil sands production technology."
23,TSX,Accord Financial Corp.,ACD,75323304.0,Canada,ON,Financial Services,,"Accord Financial Corp is a provider of asset-based financial services to businesses. Its asset-based financial services include asset-based lending, including factoring, lease financing, working capital financing, credit protection and receivables management, and supply chain financing for importers. The company's revenue comprises interest, including discount fees, and factoring commissions from the company's asset-based financial services, including factoring and leasing, and is measured at the fair value of the consideration received. The group has a business presence in the United States and Canada."
24,TSX,Acerus Pharmaceuticals Corporation,ASP,29836610.3,Canada,ON,Life Sciences,Pharmaceuticals,"Acerus Pharmaceuticals Corp is a specialty pharmaceutical company. Principally, it is engaged in the development, manufacture, marketing, and distribution of branded products in men's and women's health. The company markets its product under brand ESTRACE, NATESTO, GYNOFLOR and TEFINA. The ESTRACE brand markets in Canada and is for the symptomatic relief of menopausal symptoms. Its NATESTO is a licensed nasal gel technology for replacement therapy in adult males diagnosed with hypogonadism. GYNOFLOR offers ultra-low dose vaginal estrogen therapy. Its TEFINA brand product is a low-dose nasal testosterone gel treatment in development for female sexual dysfunction."
25,TSXV,Ackroo Inc.,AKR,5168348.84,Canada,ON,Technology,Internet Software & Services,"Ackroo Inc provides merchants of all sizes a robust, cloud based multi-currency marketing platform to help attract, engage and grow their customers while increasing their revenues and margins. Through a SaaS based business model Ackroo provides an in-store and online automated solution to help merchants process loyalty, gift card and promotional transactions at the point of sale, provide key administrative and marketing data, and to allow customers to access and manage their loyalty and gift card accounts. It also provides important marketing, data and payment services to assist their merchants with utilizing its technology solution, to better understand and steer their customers behaviours, and to provide a single point of contact for all of their primary merchant currencies."
26,TSXV,ACL International Ltd.,ACL,2184460.0,Canada,AB,Oil & Gas,,"Atco Ltd is a Canadian holding company that offers gas, electric, and infrastructure solutions. The largest subsidiary of the company is Canadian utilities, which operates natural gas, electricity, and logistical services. Atco's primary segments include electricity (generation, transmission, and distribution), pipelines and liquid, Neltume Ports and Structures and logistics. Headquartered in Calgary, Alberta, the firm mainly operates in Canada and Australia, along with some operations in the United States, the United Kingdom, and Mexico. Atco's large subsidiary, Canadian Utilities, launched a major venture called Atcoenergy, which provides low-cost and sustainable energy solutions for the Canadian province of Alberta."
27,TSXV,Acme Resources Inc.,ARI,922703.925,Canada,BC,Mining,,"Aritzia Inc is an integrated design house of exclusive fashion brands. It designs apparel and accessories for its collection of exclusive brands and sells them under the Aritzia banner. The category of products offered by the firm is blouses, T-shirts, pants, dresses, sweaters, jackets and coats, skirts, shorts, jumpsuits, and accessories. Its geographical segments include Canada and the United States of which Canada derives a majority of revenue to the company."
28,TSXV,Active Growth Capital Inc.,ACK,3286740.42,Canada,ON,Mining,,"Ackroo Inc provides merchants of all sizes a robust, cloud based multi-currency marketing platform to help attract, engage and grow their customers while increasing their revenues and margins. Through a SaaS based business model Ackroo provides an in-store and online automated solution to help merchants process loyalty, gift card and promotional transactions at the point of sale, provide key administrative and marketing data, and to allow customers to access and manage their loyalty and gift card accounts. It also provides important marketing, data and payment services to assist their merchants with utilizing its technology solution, to better understand and steer their customers behaviours, and to provide a single point of contact for all of their primary merchant currencies."
29,TSX,ACTIVEnergy Income Fund,AEU.UN,46116249.6,Canada,ON,Closed-End Funds,,
30,TSXV,AcuityAds Holdings Inc.,AT,64262266.11,Canada,ON,Technology,Internet Software & Services,"AcuityAds Holdings Inc is active in the technology sector based in the United States. Its business includes the provision of a web-based platform for advertisers to connect to their end-users. The programmatic marketing platform includes Acuity's machine learning technology that uses data for real-time advertising on social media. It caters mainly to small to mid-sized businesses. It also distributes its products in Canada, Europe, Middle-East, and Africa."
31,TSXV,Adamera Minerals Corp.,ADZ,5193025.68,Canada,BC,Mining,,"Adamera Minerals Corp is a Canadian mineral exploration company exploring for high-grade gold deposits in an established mining district of northeastern Washington State. The region has produced over 7,000,000 oz of gold historically, attesting to the potential for new discoveries. Adamera has spent over 8 years exploring and drilling prospective gold targets, establishing itself as the active explorer in the district. The company has 100% ownership of two other projects; Flag Hill and Empire Creek."
32,TSXV,Added Capital Inc.,AAD,568256.985,Canada,ON,Financial Services,,
33,TSXV,Adex Mining Inc.,ADE,10158171.615,Canada,ON,Mining,,"Adex Mining Inc is a mineral exploration and development company in Canada that develops a potential polymetallic focusing on tin, indium, zinc, molybdenum, and tungsten. The company is focused on exploring and developing its Mount Pleasant Property."
34,TSX,ADF Group Inc.,DRX,52659172.8,Canada,QC,Diversified Industries,Industrial Products and Services,"ADF Group Inc involves in the design and engineering of connections, fabrication, including industrial coating, and the installation of steel structures and steel built-ups, as well as miscellaneous and architectural metalwork. The company's products and services intended for the five principal segments of the non-residential construction industry: Office towers and high-rises, Commercial and recreational buildings, Airport facilities, Industrial complexes, and Transport infrastructures. It serves the client base in the non-residential construction industry, such as general contractors, project owners, engineering firms and project architects, and other steel structure fabricators. The company operates in the United States and Canada."
35,TSXV,Adira Energy Ltd.,ADL,826985.4,Other,Israel,Oil & Gas,,"Formed by the merger of S.A. Portland Cement and Adelaide Cement in 1971, Adelaide Brighton is an integrated cement, lime, concrete and aggregates, and concrete products business. Adelaide Brighton currently sells about 3 million tonnes of cement and 1 million tonnes of lime per year, making it Australia's largest lime and second- largest cement supplier. Key geographic regions include Western Australia and South Australia with a focus on residential construction, infrastructure, and industrial markets including mining."
36,TSXV,Adriana Resources Inc.,ADI,27571991.65,Canada,BC,Mining,,"Empower Clinics Inc is an owner and operator of medical cannabis clinics and developer of medical products in the United States, focused on enabling individuals to improve and protect their health. The company provides treatment solutions through its physician-staffed clinics that are focused on education, data, and efficacy."
37,TSXV,Advance Gold Corp.,AAX,561732.535,Canada,BC,Mining,,Advance Gold Corp is a Canadian based exploration stage company. It is engaged in the exploration and evaluation of mineral properties. It explores for gold and other precious metal. It holds interest in two projects namely Tabasquena located in Mexico and Kakamega located in Kenya.
38,TSXV,Advanced Proteome Therapeutics Corporation,APC,7271005.08,USA,USA,Life Sciences,Biotechnology,"Advanced Proteome Therapeutics Corp is a biotechnology company. It develops and commercializes a platform to use protein modification technologies to create proprietary human protein pharmaceuticals with therapeutic properties. The company develops anti-cancer drugs for cancerous tumors that will destroy a cancer patient's tumor cells selectively, sparing healthy cells. All the operations of the organization are principally carried out in the United States."
39,TSXV,Advantage Lithium Corp.,AAL,67326380.8,Canada,BC,Mining,,
40,TSX,Advantage Oil & Gas Ltd.,AAV,1798451563.0,Canada,AB,Oil & Gas,,Advantage Oil & Gas Ltd is an intermediate natural gas and liquids development and production company based out of Canada. It operates a portion of assets located in the Montney resource play in Western Canada. Development and delineation is the company's primary focus with delineation conducted through drilling and testing wells throughout the Montney.
41,TSX,Advantaged Canadian High Yield Bond Fund,AHY.UN,25939821.6,Canada,ON,Closed-End Funds,,
42,TSXV,Advent Wireless Inc.,AWI,13487136.47,Canada,BC,Technology,Communication Technology,"Advent-AWI Holdings Inc operates as a specialty retailer of personal wireless and wireline communication products and services in Canada. It offers wireless voice and data, high-speed Internet, digital cable television, home phone, smart home monitoring, and platinum MasterCard products. It has two segments; Wireless Business and Financing Business. The wireless segment sells cellular and wireless products, services and accessories through an independent network of stores in Ontario. The financing segment operates as a private lending company offering personal and collateral loans across the Greater Vancouver Area and the Greater Toronto Area."
43,TSX,Aecon Group Inc.,ARE,1076553468.7,Canada,ON,Diversified Industries,Industrial Products and Services,"Aecon Group Inc is a Canada-based company that operates in two major segments: Construction and Concessions. The Construction segment includes various aspects of the construction of public and private infrastructure projects, mainly in the transportation sector. Its concessions segment is primarily engaged in the development, financing, construction, and operation of infrastructure projects. Aecon generates the majority of its revenue from the Construction segment."
44,TSXV,Aequus Pharmaceuticals Inc.,AQS,8778612.96,Canada,BC,Life Sciences,Biotechnology,"Aequus Pharmaceuticals Inc is a Canada based specialty pharmaceutical company. The firm's operating segments are Commercial platform and Development pipeline. It generates a majority of its revenue from the Commercial platform segment. Aequus is developing a pipeline of products in neurology and psychiatry. The company's launched and pipeline products are Tacrolimus IR, Vistitan, AQS1304, AQS1303, and others."
45,TSX,AEterna Zentaris Inc.,AEZ,53335441.75,Canada,QC,Life Sciences,Biotechnology,"AEterna Zentaris Inc is a biopharmaceutical company commercializing & developing therapeutics & diagnostic tests. The company's product, Macrilen (macimorelin), is the oral test indicated for the diagnosis of adult growth hormone deficiency (GHD). Macrilen is marketed in the U.S. through a license agreement with Novo Nordisk & the company receives royalties on sales. Aeterna owns all rights to macimorelin outside of the U.S. & Canada. It is leveraging the clinical success & safety profile of macimorelin to develop it for the diagnosis of child-onset GHD. The company is actively pursuing opportunities to commercialize macimorelin in the EU & the rest of the world."
46,TSXV,Africa Energy Corp.,AFE,77494283.75,Canada,BC,Oil & Gas,,Africa Energy Corp. is an oil and gas company based in Canada. It has exploration assets in South Africa and Namibia. The operations of the company include Block 11B/12B and Block 2B in South Africa as well as Petroleum Exploration License 37 in Namibia.
47,TSX,Africa Oil Corp.,AOI,862628269.9,Canada,BC,Oil & Gas,,"Africa Oil Corp is a Canada based international oil and gas exploration company. It is an exploration stage enterprise that participates in oil and gas projects located in emerging markets, in sub-Saharan Africa. The company operates in the business segment of international oil and gas exploration, and geographically, it operates in Kenya and Ethiopia."
48,TSXV,"African Gold Group, Inc.",AGG,16332979.0,Canada,ON,Mining,,"African Gold Group Inc is a Canada-based exploration and development company. Its segment consists of the acquisition, exploration, and development of precious and base metal mineral resources properties located in Western Africa. The company's portfolio includes Kobada gold project and Madougou gold project. The Kobada project is an development gold project with a projected production of 100,000 oz per annum. The Madougou gold project is a mid-stage exploration project, located in the north-western region of Burkina Faso."
49,TSXV,African Metals Corporation,AFR,772127.455,Canada,BC,Mining,,"Africa Oil Corp is a Canada based international oil and gas exploration company. It is an exploration stage enterprise that participates in oil and gas projects located in emerging markets, in sub-Saharan Africa. The company operates in the business segment of international oil and gas exploration, and geographically, it operates in Kenya and Ethiopia."
50,TSXV,African Queen Mines Ltd.,AQ,2819744.55,Canada,BC,Mining,,
51,TSX,AG Growth International Inc.,AFN,1025729398.0,Canada,MB,Diversified Industries,"Industrial Products and Services,Agriculture","Ag Growth International Inc manufactures portable and stationary grain handling, storage and conditioning equipment, including augers, belt conveyors, grain storage bins, grain handling accessories, grain aeration equipment and grain drying systems. The company operates mainly in Portable handling, permanent handling, storage and conditioning, livestock and manufacturing sectors. The company owns brands like batco, wheatheart, westfield, storm, rem, hi roller, union iron, hsi, tramco, ptm, vis, nuvision, twister, grain guard, airlanco, westeel, frame, entringer. It has manufacturing facilities in Canada, the United States, Italy, Brazil, and the United Kingdom. Western Canada region generates most of the company's revenue."
52,TSXV,Agave Silver Corp.,AGV,2693009.13,Canada,BC,Mining,,"Avangardco Investments Public Ltd is an egg company which focuses on the production of shell eggs and egg products. It operates in five business segments, Shell Egg, Poultry, Animal Feed, Egg Products, and Other activities. Shell Egg comprises the breeding of industrial laying hens and production and sale of shell eggs. Poultry comprises the production and sale of baby chicks, breeding of young birds for sale, as well as the sale of birds for slaughter. Animal Feed comprises the production and sale of animal feed. Egg Products comprises the processing and sale of egg products. Other Activities comprises the sale of goods and services, sale of poultry meat and by-products, sale of plant production, the sale of poultry manure, among others. The company operates in the territory of Ukraine."
53,TSX,Agellan Commercial Real Estate Investment Trust,ACR.UN,292622643.8,Canada,ON,Real Estate,Industrial/Office/Retail/Residential,New Global Acreage Resources Ltd is a capital pool company. The company activity is to identify and evaluate assets or businesses with a view to potentially acquire them or an interest therein by completing a qualifying transaction.
54,TSX,AGF Management Limited,AGF.B,426278109.3,Canada,ON,Financial Services,,"AGF Management is a Canadian-based asset manager with operations and investments in Canada, the United States, the United Kingdom, Ireland, and Asia. At the end of May 2020, the firm had CAD 36.3 billion in total assets under management. AGF Management's funds are weighted more heavily toward equities, with just under two thirds of retail AUM being equity related. That said, the company does use fundamental, quantitative and alternative strategies to manages its investment funds. AGF Management has a more meaningful portion of its business tied to institutional clients than its peers, with 34% of AUM derived from institutional and subadvised accounts. The company also derives 15% of its managed assets from high-net-worth clients."
55,TSXV,"Agility Health, Inc.",AHI,4581401.98,USA,USA,Life Sciences,Healthcare Facilities and Equipment,"Agility Health Inc is a United States-based company engaged in the delivery of rehabilitation services through contracts with healthcare providers and employers and through its own clinics. It provides Hospital contract services, which supplies contracted therapy services to various hospitals, Long-Term Care contract services, which supplies contracted therapy services to long-term care facilities and other similar facilities, Outpatient services, which supplies outpatient therapy services at freestanding clinics, and Industrial rehabilitation services, which supplies contracted preventative rehabilitation services to industrial customers. The group generates its key revenue from the outpatient services."
56,TSX,AgJunction Inc.,AJX,65806747.22,Canada,AB,Technology,"Agriculture,Software","AgJunction Inc engages in the provision of hardware and software solutions for agriculture. The firm is engaged in precision agriculture business and develops products to enhance the efficiency and productivity of agricultural activities through the use of technology. It designs, manufactures and markets products and applications incorporating technologies that provide automation and navigation solutions through the integration of global navigation satellite systems (GNSS) positioning, and other technologies for precision machine guidance, steering and flow control. It operates through agriculture products segment. Its products offer positioning and machine control capabilities for the agriculture sector, including machine control and auto-steering systems."
57,TSX,Agnico Eagle Mines Limited,AEM,12434628828.0,Canada,ON,Mining,,"Agnico Eagle Mines is a gold miner operating mines in Canada, Mexico, and Finland. It also owns 50% of the Canadian Malartic mine. Agnico operated just one mine, LaRonde, as recently as 2008 before bringing its other mines on line in rapid succession in the following years. The company produced nearly 1.8 million gold ounces in 2019. Agnico Eagle is focused on increasing gold production in lower-risk jurisdictions."
58,TSX,Agrium Inc.,AGU,18707567406.0,Canada,AB,Mining,Agriculture,Aguila American Gold Ltd is a Canada-based company. It is a junior mineral exploration company.
59,TSX,AGT Food and Ingredients Inc.,AGT,890129077.2,Canada,SK,Diversified Industries,"Consumer Products and Services,Agriculture",
60,TSXV,Aguila American Gold Limited,AGL,921997.96,Canada,BC,Mining,,Aguila American Gold Ltd is a Canada-based company. It is a junior mineral exploration company.
61,TSX,Aimia Inc.,AIM,1444923385.05,Canada,QC,Diversified Industries,Consumer Products and Services,"Aimia Inc. is a loyalty and travel consolidator focused on growing earnings though its existing investments and the targeted deployment of capital in loyalty solutions and other sub-sectors of the rapidly-expanding loyalty and travel markets. Its investments in travel loyalty include the Club Premier program in Mexico, which it jointly controls with Aeroméxico through its investment in PLM, and an investment alongside Air Asia in travel technology company Big Life, the operator of BIG Loyalty. Aimia also operates a loyalty solutions business, which is a well-recognized, global full-service provider of next-generation loyalty solutions for many of the world's leading brands in the retail, CPG, travel & hospitality, and financial services verticals."
62,TSX,Air Canada,AC,3682820250.0,Canada,QC,Diversified Industries,Industrial Products and Services,"Air Canada is Canada's largest airline, serving nearly 40 million passengers annually together with its regional partners. Air Canada provides over 1,500 daily flights to around 200 destinations and is a founding member of the Star Alliance. In 2016, the company generated CAD 14.7 billion in total revenue, split across passenger services (roughly 90% of revenue), cargo (4%), and other (6%)."
63,TSX,AirBoss of America Corp.,BOS,254969722.2,Canada,ON,Diversified Industries,Consumer Products and Services,"AirBoss of America Corp is a Canada based manufacturer of rubber-based products for the resource, military, automotive and industrial markets. Its activities are organized in the segments of Rubber Solutions, Engineered Products and Corporate. The Rubber Solutions segment includes manufacturing and distribution of rubber compounds and distribution of rubber compounding related chemicals. Engineered Products segment includes the manufacture and distribution of personal protection and safety products primarily for CBRN hazards and semi-finished rubber related products and includes the manufacture and distribution of anti-vibration and noise dampening automotive parts. It generates maximum revenue from the Engineered Products segment and geographically from the United States."
64,TSXV,AirIQ Inc.,IQ,4628631.52,Canada,ON,Technology,Software,"Airiq Inc is a Canada based company that develops and operates a telematics asset management system using specialized software, digitized mapping, wireless communications, the internet, and the Global Positioning System. Geographically, the company has operations in Canada and the United States which is the key revenue driver."
65,TSX,Akita Drilling Ltd.,AKT.A,142242940.36,Canada,AB,Diversified Industries,"Industrial Products and Services,Energy Services","Akita Drilling Ltd is a Canadian oil and gas drilling contractor. The company is engaged in providing contract drilling services, primarily to the oil and gas industry. The company owns and operates over 30 drilling rigs It is also involved in the drilling related to potash mining and the development of storage caverns."
66,TSXV,Alabama Graphite Corp.,ALP,15780843.6,Canada,BC,Mining,,"Alphamin Resources Corp is a Mauritius-based company. It is engaged in the business of locating, acquiring, exploring, evaluating and, developing mineral properties. Its project consists of Bisie Tin mining Project's Mpama North prospect in North Kivu in the eastern region of the Democratic Republic of Congo (DRC)."
67,TSX,Alacer Gold Corp.,ASR,718423954.7,USA,USA,Mining,,"Alacer Gold Corp is a gold mining company. The group operates in one reportable operating segment consisting of mining, development, and exploration of mineral deposits in Turkey. It is focused on two parts of exploration: the Copler District and Turkey Regional. Geographically, it generates maximum revenue from the Turkey business unit."
68,TSX,Alamos Gold Inc.,AGI,2283231424.0,Canada,ON,Mining,,"Alamos Gold Inc acquires, explores, and produces gold and other precious metals, and operates in two principal geographic areas: Canada and Mexico. The company has three operating mines in North America: the Young-Davidson Mine in Canada and the Mulatos and El Chanate Mines in Sonora, Mexico. The Young-Davidson mine is the group's largest revenue contributor, and the property also holds mineral leases and claims covering approximately 11,000 acres. Additionally, Alamos has a significant portfolio of projects in Turkey and the United States."
69,TSX,Alaris Royalty Corp.,AD,815744479.7,Canada,AB,Financial Services,,"Alaris Royalty Corp is engaged in investing in operating entities. Its operations consist primarily of investments in private operating entities, typically in the form of preferred limited partnership interests, preferred interest in limited liability corporations in the United States, loans receivable, or long-term license and royalty arrangements."
70,TSX,AlarmForce Industries Inc.,AF,112810015.5,Canada,ON,Diversified Industries,Consumer Products and Services,"Ag Growth International Inc manufactures portable and stationary grain handling, storage and conditioning equipment, including augers, belt conveyors, grain storage bins, grain handling accessories, grain aeration equipment and grain drying systems. The company operates mainly in Portable handling, permanent handling, storage and conditioning, livestock and manufacturing sectors. The company owns brands like batco, wheatheart, westfield, storm, rem, hi roller, union iron, hsi, tramco, ptm, vis, nuvision, twister, grain guard, airlanco, westeel, frame, entringer. It has manufacturing facilities in Canada, the United States, Italy, Brazil, and the United Kingdom. Western Canada region generates most of the company's revenue."
71,TSXV,Alaska Hydro Corporation,AKH,4107085.3,USA,USA,Clean Technology,Renewable Energy Production and Distribution,"Alaska Hydro Corp is principally engaged in the generation and sale of electricity business activities. It also involved in development, distribution, transmission, and marketing of electrical power. The company operates More Creek Hydroelectric Project with the electric generation power capacity of 306 GWh. It involved in the development of clean, renewable and Hydroelectric power generation. It derives most of its revenues from the sale of the electricity business activities and has operations spread across Canada."
72,TSXV,Alberta Oilsands Inc.,AOS,25503846.84,Canada,AB,Oil & Gas,,"A.O. Smith Corporation manufactures and markets comprehensive lines of residential and commercial gas, gas tankless, and electric water heaters. Supplementary products include water heating equipment, condensing and noncondensing boilers, and water system tanks. The company's two operating segments are by geographic region: North America (majority of total revenue) and Rest of World. A material portion of sales in North America derive from replacing existing products, and the company utilizes a wholesale distribution channel and multiple selling locations. The Rest of World segment sells primarily to Asian countries, and operates sales offices to expand distribution and market its product portfolio."
73,TSX,Alderon Iron Ore Corp.,ADV,46907591.66,Canada,BC,Mining,,Advantage Oil & Gas Ltd is an intermediate natural gas and liquids development and production company based out of Canada. It operates a portion of assets located in the Montney resource play in Western Canada. Development and delineation is the company's primary focus with delineation conducted through drilling and testing wells throughout the Montney.
